PartcipantID:2
InitialTimeStamp:11-56-12-716
block;trial;item;In(1)/Out(0);time
1;1;5;1;3.333498
1;1;2;1;42.90104
1;1;2;0;38.34878
1;1;2;1;36.34722
1;1;3;1;35.16029
1;1;3;0;33.77114
1;1;3;1;33.18884
1;1;3;0;32.69125
1;1;3;1;32.24121
1;1;3;0;31.76401
1;1;3;1;31.33648
1;1;3;0;30.90133
1;1;3;1;30.41862
1;1;3;0;27.30783
1;1;3;1;26.68039
1;1;3;0;25.7143
1;1;3;1;25.39423
1;1;3;0;24.86885
1;1;3;1;23.97629
1;1;3;0;23.67662
1;1;3;1;23.12543
1;1;3;0;22.19823
1;1;3;1;18.12474
1;1;3;0;16.26494
1;1;3;1;16.02495
1;1;3;0;15.3515
1;1;3;1;15.15284
1;1;3;0;14.60086
1;1;3;1;13.37089
1;1;3;0;12.88499
1;1;3;1;12.3532
1;1;6;1;9.102554
