PartcipantID:123
InitialTimeStamp:16-30-41-945
block;trial;item;In(1)/Out(0);time
1;1;5;1;2.074577
1;1;1;1;2.846123
1;1;3;1;3.676189
1;1;2;1;4.404266
1;1;6;1;5.099876
1;2;1;1;1.383026
1;2;6;1;2.085957
1;2;2;1;2.930252
1;2;3;1;4.223915
1;2;5;1;5.245399
1;2;4;1;6.474525
1;2;6;0;7.654327
1;2;2;0;8.399529
1;2;3;0;9.410252
1;3;4;1;0.8988228
1;5;6;1;1.321503
1;5;6;0;1.821133
1;9;3;1;2.893513
1;9;1;1;3.804859
1;9;5;1;4.351864
1;9;6;1;5.046822
1;9;4;1;5.659832
1;9;2;1;6.637325
1;10;1;1;1.696186
1;10;5;1;2.177185
1;11;6;1;1.029461
1;11;1;1;1.393482
