PartcipantID:3
InitialTimeStamp:12-04-49-225
block;trial;item;In(1)/Out(0);time
1;1;3;1;5.044762
1;1;3;0;6.333607
1;1;3;1;8.381516
1;1;3;0;8.675278
1;1;3;1;9.299591
1;1;3;0;9.921127
1;1;3;1;10.43196
1;1;3;0;11.59125
1;1;3;1;12.34871
1;1;3;0;13.20879
1;1;3;1;13.80042
1;1;3;0;14.55264
1;1;3;1;15.23445
1;1;3;0;18.79893
1;1;3;1;19.50562
1;1;3;0;20.02906
1;1;3;1;20.48023
1;1;5;1;22.41469
1;1;5;0;23.01938
1;1;5;1;23.65368
1;1;5;0;24.31685
1;1;5;1;25.43018
1;1;5;0;25.91424
1;1;5;1;27.74123
1;1;5;0;30.54655
1;1;5;1;31.16927
1;1;5;0;32.83997
1;1;5;1;33.13542
1;1;5;0;34.30896
1;1;5;1;34.56288
1;1;5;0;35.06059
1;1;5;1;35.56943
1;1;5;0;40.71697
1;1;5;1;41.01124
1;1;5;0;41.4303
