PartcipantID:Poseidon
InitialTimeStamp:10-59-41-342
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;42
1;1;11;83
1;1;21;3743
1;1;3;3772
1;2;1;32294
1;2;11;32332
1;2;21;39798
1;2;3;39826
